"LEWISBURG 3 N, WV US (USC00465224)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1852-09-09,,,,,,
1852-09-10,,,,,,
1852-09-11,,,,0.09,,
1852-09-12,,,,0.15,,
1852-09-13,,,,,,
1852-09-14,,,,,,
1852-09-15,,,,,,
1852-09-16,,,,,,
1852-09-17,,,,,,
1852-09-18,,,,,,
1852-09-19,,,,,,
1852-09-20,,,,,,
1852-09-21,,,,0.05,,
1852-09-22,,,,,,
1852-09-23,,,,1.00,,
1852-09-24,,,,,,
1852-09-25,,,,1.00,,
1852-09-26,,,,,,
1852-09-27,,,,,,
1852-09-28,,,,,,
1852-09-29,,,,,,
1852-09-30,,,,,,
1852-10-01,,,,,,
1852-10-02,,,,,,
1852-10-03,,,,,,
1852-10-04,,,,,,
1852-10-05,,,,,,
1852-10-06,,,,,,
1852-10-07,,,,,,
1852-10-08,,,,,,
1852-10-09,,,,,,
1852-10-10,,,,0.17,,
1852-10-11,,,,,,
1852-10-12,,,,,,
1852-10-13,,,,0.10,,
1852-10-14,,,,,,
1852-10-15,,,,,,
1852-10-16,,,,,,
1852-10-17,,,,,,
1852-10-18,,,,,,
1852-10-19,,,,,,
1852-10-20,,,,,,
1852-10-21,,,,,,
1852-10-22,,,,,,
1852-10-23,,,,,,
1852-10-24,,,,,,
1852-10-25,,,,,,
1852-10-26,,,,,,
1852-10-27,,,,,,
1852-10-28,,,,,,
1852-10-29,,,,0.20,,
1852-10-30,,,,0.80,,
1852-10-31,,,,,,
1852-11-01,,,,0.00,,
1852-11-02,,,,0.60,,
1852-11-03,,,,0.00,,
1852-11-04,,,,0.00,,
1852-11-05,,,,0.00,,
1852-11-06,,,,3.05,,
1852-11-07,,,,0.00,,
1852-11-08,,,,0.00,,
1852-11-09,,,,0.00,,
1852-11-10,,,,0.00,,
1852-11-11,,,,0.00,,
1852-11-12,,,,0.20,,
1852-11-13,,,,0.00,,
1852-11-14,,,,0.00,,
1852-11-15,,,,0.00,,
1852-11-16,,,,0.00,,
1852-11-17,,,,0.25,,
1852-11-18,,,,0.00,,
1852-11-19,,,,0.00,,
1852-11-20,,,,0.00,,
1852-11-21,,,,0.00,,
1852-11-22,,,,0.45,,
1852-11-23,,,,0.00,,
1852-11-24,,,,0.00,,
1852-11-25,,,,0.20,,
1852-11-26,,,,0.70,,
1852-11-27,,,,0.00,,
1852-11-28,,,,0.00,,
1852-11-29,,,,0.60,,
1852-11-30,,,,0.00,,
1852-12-01,,,,,,
1852-12-02,,,,,,
1852-12-03,,,,0.20,,
1852-12-04,,,,1.40,,
1852-12-05,,,,,,
1852-12-06,,,,,,
1852-12-07,,,,0.10,,
1852-12-08,,,,,,
1852-12-09,,,,0.90,,
1852-12-10,,,,,,
1852-12-11,,,,,,
1852-12-12,,,,,,
1852-12-13,,,,,,
1852-12-14,,,,,,
1852-12-15,,,,0.80,,
1852-12-16,,,,,,
1852-12-17,,,,,,
1852-12-18,,,,,,
1852-12-19,,,,,,
1852-12-20,,,,,,
1852-12-21,,,,0.10,,
1852-12-22,,,,,,
1852-12-23,,,,,,
1852-12-24,,,,,,
1852-12-25,,,,0.15,,
1852-12-26,,,,,,
1852-12-27,,,,0.40,,
1852-12-28,,,,0.10,,
1852-12-29,,,,,,
1852-12-30,,,,,,
1852-12-31,,,,0.10,,
1853-01-01,,,,,,
1853-01-02,,,,,,
1853-01-03,,,,,,
1853-01-04,,,,,,
1853-01-05,,,,,,
1853-01-06,,,,,,
1853-01-07,,,,,,
1853-01-08,,,,,,
1853-01-09,,,,,,
1853-01-10,,,,,,
1853-01-11,,,,,,
1853-01-12,,,,,,
1853-01-13,,,,,,
1853-01-14,,,,,,
1853-01-15,,,,,,
1853-01-16,,,,,,
1853-01-17,,,,,,
1853-01-18,,,,,,
1853-01-19,,,,,,
1853-01-20,,,,,,
1853-01-21,,,,,,
1853-01-22,,,,,,
1853-01-23,,,,,,
1853-01-24,,,,,,
1853-01-25,,,,,,
1853-01-26,,,,,,
1853-01-27,,,,,,
1853-01-28,,,,,,
1853-01-29,,,,,,
1853-01-30,,,,,,
1853-01-31,,,,,,
1853-02-01,,,,,,
1853-02-02,,,,,,
1853-02-03,,,,,,
1853-02-04,,,,,,
1853-02-05,,,,,,
1853-02-06,,,,,,
1853-02-07,,,,,,
1853-02-08,,,,,,
1853-02-09,,,,,,
1853-02-10,,,,,,
1853-02-11,,,,,,
1853-02-12,,,,,,
1853-02-13,,,,,,
1853-02-14,,,,,,
1853-02-15,,,,,,
1853-02-16,,,,,,
1853-02-17,,,,,,
1853-02-18,,,,,,
1853-02-19,,,,,,
1853-02-20,,,,,,
1853-02-21,,,,,,
1853-02-22,,,,,,
1853-02-23,,,,,,
1853-02-24,,,,,,
1853-02-25,,,,,,
1853-02-26,,,,,,
1853-02-27,,,,,,
1853-02-28,,,,,,
1853-03-01,,,,,,
1853-03-02,,,,,,
1853-03-03,,,,,,
1853-03-04,,,,,,
1853-03-05,,,,,,
1853-03-06,,,,,,
1853-03-07,,,,,,
1853-03-08,,,,,,
1853-03-09,,,,,,
1853-03-10,,,,,,
1853-03-11,,,,,,
1853-03-12,,,,,,
1853-03-13,,,,,,
1853-03-14,,,,,,
1853-03-15,,,,,,
1853-03-16,,,,,,
1853-03-17,,,,,,
1853-03-18,,,,,,
1853-03-19,,,,,,
1853-03-20,,,,,,
1853-03-21,,,,,,
1853-03-22,,,,,,
1853-03-23,,,,,,
1853-03-24,,,,,,
1853-03-25,,,,,,
1853-03-26,,,,,,
1853-03-27,,,,,,
1853-03-28,,,,,,
1853-03-29,,,,,,
1853-03-30,,,,,,
1853-03-31,,,,,,
1853-04-01,,,,,,
1853-04-02,,,,,,
1853-04-03,,,,,,
1853-04-04,,,,,,
1853-04-05,,,,,,
1853-04-06,,,,,,
1853-04-07,,,,,,
1853-04-08,,,,,,
1853-04-09,,,,,,
1853-04-10,,,,,,
1853-04-11,,,,,,
1853-04-12,,,,,,
1853-04-13,,,,,,
1853-04-14,,,,,,
1853-04-15,,,,,,
1853-04-16,,,,,,
1853-04-17,,,,,,
1853-04-18,,,,,,
1853-04-19,,,,,,
1853-04-20,,,,,,
1853-04-21,,,,,,
1853-04-22,,,,,,
1853-04-23,,,,,,
1853-04-24,,,,,,
1853-04-25,,,,,,
1853-04-26,,,,,,
1853-04-27,,,,,,
1853-04-28,,,,,,
1853-04-29,,,,,,
1853-04-30,,,,,,
1853-05-01,,,,,,
1853-05-02,,,,,,
1853-05-03,,,,,,
1853-05-04,,,,,,
1853-05-05,,,,,,
1853-05-06,,,,,,
1853-05-07,,,,,,
1853-05-08,,,,,,
1853-05-09,,,,,,
1853-05-10,,,,,,
1853-05-11,,,,,,
1853-05-12,,,,,,
1853-05-13,,,,,,
1853-05-14,,,,,,
1853-05-15,,,,,,
1853-05-16,,,,,,
1853-05-17,,,,,,
1853-05-18,,,,,,
1853-05-19,,,,,,
1853-05-20,,,,,,
1853-05-21,,,,,,
1853-05-22,,,,,,
